URL;Score Performance;Score Accessibility;Score Best Practices;Score SEO
https://www.nomacast.fr/;65;92;100;92
https://www.nomacast.fr/tarifs.html;69;92;100;92
https://www.nomacast.fr/cas-clients.html;79;94;100;92
https://www.nomacast.fr/captation-evenement-entreprise.html;95;89;100;92
https://www.nomacast.fr/streaming-multi-plateformes.html;86;90;100;92
https://www.nomacast.fr/captation-conference-seminaire.html;66;90;100;92
https://www.nomacast.fr/captation-interview-table-ronde.html;55;90;100;92
https://www.nomacast.fr/captation-video-corporate.html;65;89;100;92
https://www.nomacast.fr/captation-video-evenement.html;90;90;100;92
https://www.nomacast.fr/captation-4k.html;79;90;100;92
https://www.nomacast.fr/emission-live-corporate.html;83;90;100;92
https://www.nomacast.fr/live-streaming-evenement.html;58;90;100;92
https://www.nomacast.fr/streaming-multiplex-multi-sites.html;82;90;100;92
https://www.nomacast.fr/prestataire-captation-evenement.html;66;90;100;92
https://www.nomacast.fr/agences-partenaires.html;68;90;100;92
https://www.nomacast.fr/devis.html;ERR;ERR;ERR;ERR
https://www.nomacast.fr/devis-captation-4k.html;90;94;100;61
https://www.nomacast.fr/devis-captation-conference-seminaire.html;66;94;100;61
https://www.nomacast.fr/devis-captation-evenement.html;90;94;100;61
https://www.nomacast.fr/devis-captation-table-ronde.html;65;94;100;61
https://www.nomacast.fr/devis-emission-live-corporate.html;75;94;100;61
https://www.nomacast.fr/devis-live-streaming-evenement.html;67;94;100;61
https://www.nomacast.fr/devis-live-streaming-paris.html;59;94;100;61
https://www.nomacast.fr/cas-client-comedie-francaise.html;99;93;100;92
https://www.nomacast.fr/cas-client-digital-benchmark-berlin.html;87;93;100;92
https://www.nomacast.fr/cas-client-figma-conference.html;91;93;100;92
https://www.nomacast.fr/cas-client-gl-events.html;88;93;100;92
https://www.nomacast.fr/cas-client-johnson-johnson.html;88;93;100;92
https://www.nomacast.fr/cas-client-louvre-lahorde.html;92;93;100;92
https://www.nomacast.fr/cas-client-morning.html;94;94;100;92
https://www.nomacast.fr/blog.html;76;94;100;92
https://www.nomacast.fr/blog-ag-mixte-presentiel-distanciel.html;64;91;100;92
https://www.nomacast.fr/plan-du-site.html;93;89;100;92
https://www.nomacast.fr/en/;93;92;100;92
https://www.nomacast.fr/en/pricing.html;74;92;100;92
https://www.nomacast.fr/en/case-studies.html;45;94;100;92
https://www.nomacast.fr/en/corporate-event-filming.html;95;89;100;92
https://www.nomacast.fr/en/multi-platform-streaming.html;95;90;100;92
https://www.nomacast.fr/en/conference-seminar-filming.html;86;90;100;92
https://www.nomacast.fr/en/interview-roundtable-filming.html;87;90;100;92
https://www.nomacast.fr/en/corporate-video-production.html;77;89;100;92
https://www.nomacast.fr/en/event-video-production.html;81;90;100;92
https://www.nomacast.fr/en/4k-video-recording.html;77;90;100;92
https://www.nomacast.fr/en/corporate-live-show.html;80;90;100;92
https://www.nomacast.fr/en/event-live-streaming.html;86;90;100;92
https://www.nomacast.fr/en/multi-site-live-streaming.html;73;90;100;92
https://www.nomacast.fr/en/b2b-event-filming-provider.html;86;90;100;92
https://www.nomacast.fr/en/partner-agencies.html;97;94;100;92
https://www.nomacast.fr/en/quote.html;ERR;ERR;ERR;ERR
https://www.nomacast.fr/en/quote-4k-filming.html;69;94;100;61
https://www.nomacast.fr/en/quote-conference-seminar-filming.html;86;94;100;61
https://www.nomacast.fr/en/quote-corporate-live-show.html;66;94;100;61
https://www.nomacast.fr/en/quote-event-filming.html;67;94;100;61
https://www.nomacast.fr/en/quote-event-live-streaming.html;67;94;100;61
https://www.nomacast.fr/en/quote-interview-roundtable-filming.html;64;94;100;61
https://www.nomacast.fr/en/quote-live-streaming-paris.html;55;94;100;61
https://www.nomacast.fr/en/case-comedie-francaise.html;92;93;100;92
https://www.nomacast.fr/en/case-digital-benchmark-berlin.html;81;93;100;92
https://www.nomacast.fr/en/case-figma-conference.html;85;93;100;92
https://www.nomacast.fr/en/case-gl-events.html;94;93;100;92
https://www.nomacast.fr/en/case-johnson-johnson.html;87;93;100;92
https://www.nomacast.fr/en/case-louvre-lahorde.html;61;93;100;92
https://www.nomacast.fr/en/case-morning.html;71;94;100;92
https://www.nomacast.fr/en/blog.html;77;94;100;92
https://www.nomacast.fr/en/blog-hybrid-agm-in-person-remote.html;94;91;100;92
